case_name,lambda_label,zeta_label,zeta,omega0,A,Omega,x0,v0,T,dt,B_steady,B_over_x0,lambda_phys,n_data,n_phys,epochs,lr,relative_l2,rmse,max_abs_error,physics_mse,experiment_group
G3_Z11,,Z11,0.27263157894736845,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3132773100967489,0.3132773100964356,0.00026366508987303583,25,400,20000,0.0001,0.01372716762134549,0.00418783061395119,0.015613438667167634,0.0048983716405928135,group3_zeta_sweep_A1
G3_Z12,,Z12,0.29789473684210527,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3097911807772144,0.3097911807769046,0.00026366508987303583,25,400,20000,0.0001,0.01824935052045115,0.005537285450874118,0.01689370532551393,0.005494638346135616,group3_zeta_sweep_A1
G3_Z13,,Z13,0.3231578947368421,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3061255287536456,0.3061255287533395,0.00026366508987303583,25,400,20000,0.0001,0.015076209281774371,0.0045545452338481346,0.011944971427795492,0.0041940901428461075,group3_zeta_sweep_A1
G3_Z14,,Z14,0.34842105263157896,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.30230448215389144,0.3023044821535891,0.00026366508987303583,25,400,20000,0.0001,0.01467988495037252,0.004419169656778454,0.01377285430467362,0.013589363545179367,group3_zeta_sweep_A1
G3_Z15,,Z15,0.3736842105263158,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.29835147239620774,0.29835147239590937,0.00026366508987303583,25,400,20000,0.0001,0.01062213436406409,0.0031884790452952707,0.008595378551323585,0.005227352026849985,group3_zeta_sweep_A1
G3_Z16,,Z16,0.39894736842105266,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.2942889745857345,0.2942889745854402,0.00026366508987303583,25,400,20000,0.0001,0.07884615989585501,0.023612432367272868,0.07770604969050965,0.037409164011478424,group3_zeta_sweep_A1
G3_Z17,,Z17,0.4242105263157895,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.29013830268701096,0.2901383026867208,0.00026366508987303583,25,400,20000,0.0001,0.032966150277097955,0.009853975301345689,0.02937365240176426,0.010210711508989334,group3_zeta_sweep_A1
G3_Z18,,Z18,0.4494736842105263,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.28591945711821704,0.2859194571179311,0.00026366508987303583,25,400,20000,0.0001,0.008209678350007365,0.00245028880898476,0.006886797277975032,0.0030744876712560654,group3_zeta_sweep_A1
G3_Z19,,Z19,0.4747368421052632,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.28165102074293996,0.2816510207426583,0.00026366508987303583,25,400,20000,0.0001,0.07308737734399325,0.021788330183214962,0.07350360853855303,0.036483507603406906,group3_zeta_sweep_A1
G3_Z20,,Z20,0.5,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.2773500981126146,0.2773500981123372,0.00026366508987303583,25,400,20000,0.0001,0.013103843132105619,0.003902981125656742,0.009931011027168563,0.005959991831332445,group3_zeta_sweep_A1
